ICD10,ICD10 String,PheCode,Phenotype,Excl. Phecodes,Excl. Phenotypes,sex,pregnancy_related,category,category_string
K26.6,"Duodenal ulcer, chronic or unspecified with both haemorrhage and perforation",531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K26.7,"Duodenal ulcer, chronic without haemorrhage or perforation",531.3,Duodenal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K26.9,"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",531.3,Duodenal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27,"Peptic ulcer, site unspecified",531,Peptic ulcer (excl. esophageal),531-531.99,gastro ulcer,,0.0,10.0,digestive
K27.0,"Peptic ulcer, site unspecified, acute with haemorrhage",531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27.1,"Peptic ulcer, site unspecified, acute with perforation",531.4,"Peptic ulcer, site unspecified",531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27.2,"Peptic ulcer, site unspecified, acute with both haemorrhage and perforation",531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27.3,"Peptic ulcer, site unspecified, acute without haemorrhage or perforation",531.4,"Peptic ulcer, site unspecified",531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27.4,"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27.5,"Peptic ulcer, site unspecified, chronic or unspecified with perforation",531.4,"Peptic ulcer, site unspecified",531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27.6,"Peptic ulcer, site unspecified, chronic or unspecified with both haemorrhage and perforation",531.4,"Peptic ulcer, site unspecified",531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27.7,"Peptic ulcer, site unspecified, chronic without haemorrhage or perforation",531.4,"Peptic ulcer, site unspecified",531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K27.9,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without haemorrhage or perforation",531.4,"Peptic ulcer, site unspecified",531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28,Gastrojejunal ulcer,531,Peptic ulcer (excl. esophageal),531-531.99,gastro ulcer,,0.0,10.0,digestive
K28.0,"Gastrojejunal ulcer, acute with haemorrhage",531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28.1,"Gastrojejunal ulcer, acute with perforation",531.5,Gastrojejunal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28.2,"Gastrojejunal ulcer, acute with both haemorrhage and perforation",531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28.3,"Gastrojejunal ulcer, acute without haemorrhage or perforation",531.5,Gastrojejunal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28.4,"Gastrojejunal ulcer, chronic or unspecified with haemorrhage",531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28.5,"Gastrojejunal ulcer, chronic or unspecified with perforation",531.5,Gastrojejunal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28.6,"Gastrojejunal ulcer, chronic or unspecified with both haemorrhage and perforation",531.1,Hemorrhage from gastrointestinal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28.7,"Gastrojejunal ulcer, chronic without haemorrhage or perforation",531.5,Gastrojejunal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K28.9,"Gastrojejunal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",531.5,Gastrojejunal ulcer,531-531.99,gastro ulcer,Both,0.0,10.0,digestive
K29,Gastritis and duodenitis,535,Gastritis and duodenitis,535-537.99,disorders of stomach,,0.0,10.0,digestive
K29.0,Acute haemorrhagic gastritis,535.1,Acute gastritis,535-537.99,disorders of stomach,Both,0.0,10.0,digestive
K29.1,Other acute gastritis,535.1,Acute gastritis,535-537.99,disorders of stomach,Both,0.0,10.0,digestive
K29.2,Alcoholic gastritis,317.1,Alcoholism,316-319.99,Substance-related disorders,Both,0.0,5.0,mental disorders
K29.3,Chronic superficial gastritis,535.8,Other specified gastritis,535-537.99,disorders of stomach,Both,0.0,10.0,digestive
K29.4,Chronic atrophic gastritis,535.2,Atrophic gastritis,535-537.99,disorders of stomach,Both,0.0,10.0,digestive
K29.5,"Chronic gastritis, unspecified",535.8,Other specified gastritis,535-537.99,disorders of stomach,Both,0.0,10.0,digestive
K29.6,Other gastritis,535.8,Other specified gastritis,535-537.99,disorders of stomach,Both,0.0,10.0,digestive
K29.7,"Gastritis, unspecified",535,Gastritis and duodenitis,535-537.99,disorders of stomach,,0.0,10.0,digestive
K29.8,Duodenitis,535.6,Duodenitis,535-537.99,disorders of stomach,Both,0.0,10.0,digestive
K29.9,"Gastroduodenitis, unspecified",535,Gastritis and duodenitis,535-537.99,disorders of stomach,,0.0,10.0,digestive
K30,Functional dyspepsia,785,Abdominal pain,785-785.99,Abdominal pain,,0.0,17.0,symptoms
K31,Other diseases of stomach and duodenum,537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.0,Acute dilatation of stomach,536,Disorders of function of stomach,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.1,Adult hypertrophic pyloric stenosis,537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.2,Hourglass stricture and stenosis of stomach,537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.3,"Pylorospasm, not elsewhere classified",537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.4,Gastric diverticulum,537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.5,Obstruction of duodenum,537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.6,Fistula of stomach and duodenum,537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.7,Polyp of stomach and duodenum,211,Benign neoplasm of other parts of digestive system,"211-211.99, 150-159.99",Cancer/benign neoplams of digestive system,,0.0,2.0,neoplasms
K31.8,Other specified diseases of stomach and duodenum,537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K31.9,"Disease of stomach and duodenum, unspecified",537,Other disorders of stomach and duodenum,535-537.99,disorders of stomach,,0.0,10.0,digestive
K35,Acute appendicitis,540.11,Acute appendicitis,540-540.99,appendicitis and other appendiceal conditions,Both,0.0,10.0,digestive
K35.0,Acute appendicitis with generalized peritonitis,540.11,Acute appendicitis,540-540.99,appendicitis and other appendiceal conditions,Both,0.0,10.0,digestive
K35.1,Acute appendicitis with peritoneal abscess,540.11,Acute appendicitis,540-540.99,appendicitis and other appendiceal conditions,Both,0.0,10.0,digestive
K35.9,"Acute appendicitis, unspecified",540.11,Acute appendicitis,540-540.99,appendicitis and other appendiceal conditions,Both,0.0,10.0,digestive
K36,Other appendicitis,540.1,Appendicitis,540-540.99,appendicitis and other appendiceal conditions,Both,0.0,10.0,digestive
K37,Unspecified appendicitis,540.1,Appendicitis,540-540.99,appendicitis and other appendiceal conditions,Both,0.0,10.0,digestive
K38,Other diseases of appendix,540,Appendiceal conditions,540-540.99,appendicitis and other appendiceal conditions,,0.0,10.0,digestive
K38.0,Hyperplasia of appendix,540,Appendiceal conditions,540-540.99,appendicitis and other appendiceal conditions,,0.0,10.0,digestive
K38.1,Appendicular concretions,540,Appendiceal conditions,540-540.99,appendicitis and other appendiceal conditions,,0.0,10.0,digestive
K38.2,Diverticulum of appendix,540,Appendiceal conditions,540-540.99,appendicitis and other appendiceal conditions,,0.0,10.0,digestive
K38.3,Fistula of appendix,540,Appendiceal conditions,540-540.99,appendicitis and other appendiceal conditions,,0.0,10.0,digestive
K38.8,Other specified diseases of appendix,540,Appendiceal conditions,540-540.99,appendicitis and other appendiceal conditions,,0.0,10.0,digestive
K38.9,"Disease of appendix, unspecified",540,Appendiceal conditions,540-540.99,appendicitis and other appendiceal conditions,,0.0,10.0,digestive
K40,Inguinal hernia,550.1,Inguinal hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K40.0,"Bilateral inguinal hernia, with obstruction, without gangrene",550.1,Inguinal hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K40.1,"Bilateral inguinal hernia, with gangrene",550.1,Inguinal hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K40.2,"Bilateral inguinal hernia, without obstruction or gangrene",550.1,Inguinal hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K40.3,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene",550.1,Inguinal hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K40.4,"Unilateral or unspecified inguinal hernia, with gangrene",550.1,Inguinal hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K40.9,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",550.1,Inguinal hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K41,Femoral hernia,550.3,Femoral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K41.0,"Bilateral femoral hernia, with obstruction, without gangrene",550.3,Femoral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K41.1,"Bilateral femoral hernia, with gangrene",550.3,Femoral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K41.2,"Bilateral femoral hernia, without obstruction or gangrene",550.3,Femoral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K41.3,"Unilateral or unspecified femoral hernia, with obstruction, without gangrene",550.3,Femoral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K41.4,"Unilateral or unspecified femoral hernia, with gangrene",550.3,Femoral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K41.9,"Unilateral or unspecified femoral hernia, without obstruction or gangrene",550.3,Femoral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K42,Umbilical hernia,550.4,Umbilical hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K42.0,"Umbilical hernia with obstruction, without gangrene",550.4,Umbilical hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K42.1,Umbilical hernia with gangrene,550.4,Umbilical hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K42.9,Umbilical hernia without obstruction or gangrene,550.4,Umbilical hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K43,Ventral hernia,550.5,Ventral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K43.0,"Incisional hernia with obstruction, without gangrene",550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K43.1,Incisional hernia with gangrene,550.5,Ventral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K43.9,Other and unspecified ventral hernia without obstruction or gangrene,550.5,Ventral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K43.9,Other and unspecified ventral hernia without obstruction or gangrene,550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K44,Diaphragmatic hernia,550.2,Diaphragmatic hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K44.0,"Diaphragmatic hernia with obstruction, without gangrene",550.2,Diaphragmatic hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K44.1,Diaphragmatic hernia with gangrene,550.2,Diaphragmatic hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K44.9,Diaphragmatic hernia without obstruction or gangrene,550.2,Diaphragmatic hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K45,Other abdominal hernia,550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K45.0,"Other specified abdominal hernia with obstruction, without gangrene",550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K45.1,Other specified abdominal hernia with gangrene,550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K45.8,Other specified abdominal hernia without obstruction or gangrene,550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K46,Unspecified abdominal hernia,550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K46.0,"Unspecified abdominal hernia with obstruction, without gangrene",550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K46.1,Unspecified abdominal hernia with gangrene,550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K46.9,Unspecified abdominal hernia without obstruction or gangrene,550,Abdominal hernia,550-550.99,Abdominal hernia,,0.0,10.0,digestive
K46.9,Unspecified abdominal hernia without obstruction or gangrene,550.5,Ventral hernia,550-550.99,Abdominal hernia,Both,0.0,10.0,digestive
K50,Crohn disease [regional enteritis],555.1,Regional enteritis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K50.0,Crohn disease of small intestine,555.1,Regional enteritis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K50.1,Crohn disease of large intestine,555.1,Regional enteritis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K50.8,Other Crohn disease,555.1,Regional enteritis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K50.9,"Crohn disease, unspecified",555.1,Regional enteritis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51,Ulcerative colitis,555.2,Ulcerative colitis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51.0,Ulcerative (chronic) pancolitis,555.21,Ulcerative colitis (chronic),555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51.1,Ulcerative (chronic) ileocolitis,555.21,Ulcerative colitis (chronic),555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51.2,Ulcerative (chronic) proctitis,555.21,Ulcerative colitis (chronic),555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51.3,Ulcerative (chronic) rectosigmoiditis,555.2,Ulcerative colitis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51.4,Inflammatory polyps,555.2,Ulcerative colitis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51.5,Left sided colitis,555.2,Ulcerative colitis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51.8,Other ulcerative colitis,555.2,Ulcerative colitis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K51.9,"Ulcerative colitis, unspecified",555.2,Ulcerative colitis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K52.0,Gastroenteritis and colitis due to radiation,990,Effects radiation NOS,990-995.99,Other and unspecified effects of external causes,,0.0,18.0,injuries & poisonings
K52.1,Toxic gastroenteritis and colitis,569.1,Toxic gastroenteritis and colitis,565-569.99,Other gastrointestinal,Both,0.0,10.0,digestive
K52.2,Allergic and dietetic gastroenteritis and colitis,561.1,Diarrhea,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K52.8,Other specified noninfective gastroenteritis and colitis,561.1,Diarrhea,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K52.9,"Noninfective gastroenteritis and colitis, unspecified",558,Noninfectious gastroenteritis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K55,Vascular disorders of intestine,441,Vascular insufficiency of intestine,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",,0.0,8.0,circulatory system
K55.0,Acute vascular disorders of intestine,441.1,Acute vascular insufficiency of intestine,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",Both,0.0,8.0,circulatory system
K55.1,Chronic vascular disorders of intestine,441.2,Chronic vascular insufficiency of intestine,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",Both,0.0,8.0,circulatory system
K55.2,Angiodysplasia of colon,569,Other disorders of intestine,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K55.8,Other vascular disorders of intestine,441,Vascular insufficiency of intestine,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",,0.0,8.0,circulatory system
K55.9,"Vascular disorder of intestine, unspecified",441,Vascular insufficiency of intestine,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",,0.0,8.0,circulatory system
K56.0,Paralytic ileus,560.1,Paralytic ileus,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K56.1,Intussusception,560.4,Other intestinal obstruction,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K56.2,Volvulus,560.4,Other intestinal obstruction,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K56.3,Gallstone ileus,560.4,Other intestinal obstruction,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K56.4,Other impaction of intestine,560.2,Impaction of intestine,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K56.5,Intestinal adhesions [bands] with obstruction,560.4,Other intestinal obstruction,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K56.5,Intestinal adhesions [bands] with obstruction,560.3,Peritoneal or intestinal adhesions,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K56.6,Other and unspecified intestinal obstruction,560.4,Other intestinal obstruction,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K56.7,"Ileus, unspecified",560.1,Paralytic ileus,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57,Diverticular disease of intestine,562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57.0,Diverticular disease of small intestine with perforation and abscess,562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57.1,Diverticular disease of small intestine without perforation or abscess,562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57.2,Diverticular disease of large intestine with perforation and abscess,562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57.3,Diverticular disease of large intestine without perforation or abscess,562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57.4,Diverticular disease of both small and large intestine with perforation and abscess,562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57.5,Diverticular disease of both small and large intestine without perforation or abscess,562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57.8,"Diverticular disease of intestine, part unspecified, with perforation and abscess",562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K57.9,"Diverticular disease of intestine, part unspecified, without perforation or abscess",562.1,Diverticulosis,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K58,Irritable bowel syndrome,564.1,Irritable Bowel Syndrome,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K58.0,Irritable bowel syndrome with diarrhoea,564.1,Irritable Bowel Syndrome,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K58.9,Irritable bowel syndrome without diarrhoea,564.1,Irritable Bowel Syndrome,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K59,Other functional intestinal disorders,564,Functional digestive disorders,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K59.0,Constipation,563,Constipation,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K59.1,Functional diarrhoea,564,Functional digestive disorders,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K59.2,"Neurogenic bowel, not elsewhere classified",564,Functional digestive disorders,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K59.3,"Megacolon, not elsewhere classified",564,Functional digestive disorders,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K59.4,Anal spasm,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K59.8,Other specified functional intestinal disorders,564,Functional digestive disorders,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K59.9,"Functional intestinal disorder, unspecified",564,Functional digestive disorders,555-564.99,noninfective gastrointestinal disorders,,0.0,10.0,digestive
K60,Fissure and fistula of anal and rectal regions,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K60.0,Acute anal fissure,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K60.1,Chronic anal fissure,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K60.2,"Anal fissure, unspecified",565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K60.3,Anal fistula,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K60.4,Rectal fistula,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K60.5,Anorectal fistula,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K61,Abscess of anal and rectal regions,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K61.0,Anal abscess,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K61.1,Rectal abscess,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K61.2,Anorectal abscess,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K61.3,Ischiorectal abscess,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K61.4,Intrasphincteric abscess,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K62.0,Anal polyp,565.1,Anal and rectal polyp,565-569.99,Other gastrointestinal,Both,0.0,10.0,digestive
K62.1,Rectal polyp,565.1,Anal and rectal polyp,565-569.99,Other gastrointestinal,Both,0.0,10.0,digestive
K62.2,Anal prolapse,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K62.3,Rectal prolapse,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K62.4,Stenosis of anus and rectum,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K62.5,Haemorrhage of anus and rectum,578.8,Hemorrhage of rectum and anus,578-579.99,Other diseases of digestive system,Both,0.0,10.0,digestive
K62.6,Ulcer of anus and rectum,556,Ulceration of the lower GI tract,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K62.7,Radiation proctitis,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K62.8,Other specified diseases of anus and rectum,565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K62.9,"Disease of anus and rectum, unspecified",565,Anal and rectal conditions,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K63,Other diseases of intestine,569,Other disorders of intestine,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K63.0,Abscess of intestine,567,Peritonitis and retroperitoneal infections,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K63.1,Perforation of intestine (nontraumatic),569,Other disorders of intestine,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K63.2,Fistula of intestine,569,Other disorders of intestine,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K63.3,Ulcer of intestine,556.1,Ulceration of intestine,555-564.99,noninfective gastrointestinal disorders,Both,0.0,10.0,digestive
K63.4,Enteroptosis,569,Other disorders of intestine,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K63.5,Polyp of colon,208,Benign neoplasm of colon,"153-153.99, 208-208.99",Benign and malignant neoplasm of colon,,0.0,2.0,neoplasms
K63.8,Other specified diseases of intestine,569,Other disorders of intestine,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K63.9,"Disease of intestine, unspecified",569,Other disorders of intestine,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K65,Peritonitis,567,Peritonitis and retroperitoneal infections,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K65.0,Acute peritonitis,567,Peritonitis and retroperitoneal infections,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K65.8,Other peritonitis,567,Peritonitis and retroperitoneal infections,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K65.9,"Peritonitis, unspecified",567,Peritonitis and retroperitoneal infections,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K66,Other disorders of peritoneum,568,Other disorders of peritoneum,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K66.0,Peritoneal adhesions,568.1,Peritoneal adhesions (postoperative) (postinfection),565-569.99,Other gastrointestinal,Both,0.0,10.0,digestive
K66.1,Haemoperitoneum,568,Other disorders of peritoneum,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K66.8,Other specified disorders of peritoneum,568,Other disorders of peritoneum,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K66.9,"Disorder of peritoneum, unspecified",568,Other disorders of peritoneum,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K67,Disorders of peritoneum in infectious diseases classified elsewhere,567,Peritonitis and retroperitoneal infections,565-569.99,Other gastrointestinal,,0.0,10.0,digestive
K67.0,Chlamydial peritonitis,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases
K67.1,Gonococcal peritonitis,090.2,Gonococcal infections,090-092.99,Sexually transmitted infections (not hiv or hepatitis),Both,0.0,1.0,infectious diseases
K67.2,Syphilitic peritonitis,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),,0.0,1.0,infectious diseases
K67.3,Tuberculous peritonitis,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
K70,Alcoholic liver disease,317.11,Alcoholic liver damage,316-319.99,Substance-related disorders,Both,0.0,5.0,mental disorders
K70.0,Alcoholic fatty liver,317.11,Alcoholic liver damage,316-319.99,Substance-related disorders,Both,0.0,5.0,mental disorders
K70.1,Alcoholic hepatitis,317.11,Alcoholic liver damage,316-319.99,Substance-related disorders,Both,0.0,5.0,mental disorders
K70.2,Alcoholic fibrosis and sclerosis of liver,317.11,Alcoholic liver damage,316-319.99,Substance-related disorders,Both,0.0,5.0,mental disorders
K70.3,Alcoholic cirrhosis of liver,317.11,Alcoholic liver damage,316-319.99,Substance-related disorders,Both,0.0,5.0,mental disorders
K70.4,Alcoholic hepatic failure,571.8,Liver abscess and sequelae of chronic liver disease,570-573.99,Liver disease,Both,0.0,10.0,digestive
K70.9,"Alcoholic liver disease, unspecified",317.11,Alcoholic liver damage,316-319.99,Substance-related disorders,Both,0.0,5.0,mental disorders
K71,Toxic liver disease,070.9,Hepatitis NOS,050-079.99,Viral infection,Both,0.0,1.0,infectious diseases
K71.0,Toxic liver disease with cholestasis,070.9,Hepatitis NOS,050-079.99,Viral infection,Both,0.0,1.0,infectious diseases
K71.1,Toxic liver disease with hepatic necrosis,573,Other disorders of liver,570-573.99,Liver disease,,0.0,10.0,digestive
K71.2,Toxic liver disease with acute hepatitis,070.9,Hepatitis NOS,050-079.99,Viral infection,Both,0.0,1.0,infectious diseases
